,URL,Rank,Title,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,Distributor,Domestic_Opening,Budget,Release_Month,Rating,Runtime,Genres,Markets
0,/title/tt0499549/?ref_=bo_cso_table_1,1,Avatar,2847246203,760507625.0,26.7,2086738578,73.3,2009-01-01,Twentieth Century Fox,77025481.0,237000000.0,1900-12-01,PG13,2 hr 42 min,"Action
    
        Adventure
    
        Fantasy
    
        SciFi",77.0
1,/title/tt0499549/?ref_=bo_cso_table_1,1,Avatar,2847246203,760507625.0,26.7,2086738578,73.3,2009-01-01,Twentieth Century Fox,77025481.0,237000000.0,1900-12-01,PG13,2 hr 42 min,"Action
    
        Adventure
    
        Fantasy
    
        SciFi",77.0
2,/title/tt4154796/?ref_=bo_cso_table_2,2,Avengers: Endgame,2797501328,858373000.0,30.7,1939128328,69.3,2019-01-01,Walt Disney Studios Motion Pictures,357115007.0,356000000.0,1900-04-01,PG13,3 hr 1 min,"Action
    
        Adventure
    
        Drama
    
        SciFi",77.0
3,/title/tt4154796/?ref_=bo_cso_table_2,2,Avengers: Endgame,2797501328,858373000.0,30.7,1939128328,69.3,2019-01-01,Walt Disney Studios Motion Pictures,357115007.0,356000000.0,1900-04-01,PG13,3 hr 1 min,"Action
    
        Adventure
    
        Drama
    
        SciFi",77.0
4,/title/tt0120338/?ref_=bo_cso_table_3,3,Titanic,2201647264,659363944.0,30.0,1542283320,70.0,1997-01-01,Paramount Pictures,28638131.0,200000000.0,1900-12-01,PG13,3 hr 14 min,"Drama
    
        Romance",
5,/title/tt0120338/?ref_=bo_cso_table_3,3,Titanic,2201647264,659363944.0,30.0,1542283320,70.0,1997-01-01,Paramount Pictures,28638131.0,200000000.0,1900-12-01,PG13,3 hr 14 min,"Drama
    
        Romance",
6,/title/tt2488496/?ref_=bo_cso_table_4,4,Star Wars: Episode VII  The Force Awakens,2069521700,936662225.0,45.3,1132859475,54.7,2015-01-01,Walt Disney Studios Motion Pictures,247966675.0,245000000.0,1900-12-01,PG13,2 hr 18 min,"Action
    
        Adventure
    
        SciFi",62.0
7,/title/tt2488496/?ref_=bo_cso_table_4,4,Star Wars: Episode VII  The Force Awakens,2069521700,936662225.0,45.3,1132859475,54.7,2015-01-01,Walt Disney Studios Motion Pictures,247966675.0,245000000.0,1900-12-01,PG13,2 hr 18 min,"Action
    
        Adventure
    
        SciFi",62.0
8,/title/tt4154756/?ref_=bo_cso_table_5,5,Avengers: Infinity War,2048359754,678815482.0,33.1,1369544272,66.9,2018-01-01,Walt Disney Studios Motion Pictures,257698183.0,,1900-04-01,PG13,2 hr 29 min,"Action
    
        Adventure
    
        SciFi",54.0
9,/title/tt4154756/?ref_=bo_cso_table_5,5,Avengers: Infinity War,2048359754,678815482.0,33.1,1369544272,66.9,2018-01-01,Walt Disney Studios Motion Pictures,257698183.0,,1900-04-01,PG13,2 hr 29 min,"Action
    
        Adventure
    
        SciFi",54.0
