,index,Title,Rank,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,Distributor,Domestic_Opening,Budget,Release_Month,Rating,Runtime,Markets,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Musical,Mystery,Romance,SciFi,Sport,Thriller,War,Western,Paramount Pictures,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.
0,0,Avatar,1,2847246203,760507625.0,26.7,2086738578,73.3,2009,Twentieth Century Fox,77025481.0,237000000.0,12.0,PG13,162.0,77.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,2,Avengers: Endgame,2,2797501328,858373000.0,30.7,1939128328,69.3,2019,Walt Disney Studios Motion Pictures,357115007.0,356000000.0,4.0,PG13,181.0,77.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2,4,Titanic,3,2201647264,659363944.0,30.0,1542283320,70.0,1997,Paramount Pictures,28638131.0,200000000.0,12.0,PG13,194.0,50.45238095238095,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3,6,Star Wars: Episode VII  The Force Awakens,4,2069521700,936662225.0,45.3,1132859475,54.7,2015,Walt Disney Studios Motion Pictures,247966675.0,245000000.0,12.0,PG13,138.0,62.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4,8,Avengers: Infinity War,5,2048359754,678815482.0,33.1,1369544272,66.9,2018,Walt Disney Studios Motion Pictures,257698183.0,90344416.66666667,4.0,PG13,149.0,54.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5,10,SpiderMan: No Way Home,6,1693087059,722987059.0,42.7,970100000,57.3,2021,Sony Pictures Entertainment (SPE),260138569.0,90344416.66666667,12.0,PG13,148.0,54.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6,12,Jurassic World,7,1670516444,652385625.0,39.0,1018130819,61.0,2015,Universal Pictures,208806270.0,150000000.0,6.0,PG13,124.0,66.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
7,14,The Lion King,8,1662899439,543638043.0,32.7,1119261396,67.3,2019,Walt Disney Studios Motion Pictures,191770759.0,260000000.0,7.0,PG,118.0,56.0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8,18,The Avengers,9,1518815515,623357910.0,41.0,895457605,59.0,2012,Walt Disney Studios Motion Pictures,207438708.0,220000000.0,4.0,PG13,143.0,60.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9,20,Furious 7,10,1515341399,353007020.0,23.3,1162334379,76.7,2015,Universal Pictures,147187040.0,190000000.0,4.0,PG13,137.0,68.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10,22,Frozen II,11,1450026933,477373578.0,32.9,972653355,67.1,2019,Walt Disney Studios Motion Pictures,130263358.0,150000000.0,11.0,PG,103.0,68.0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11,24,Avengers: Age of Ultron,12,1402809540,459005868.0,32.7,943803672,67.3,2015,Walt Disney Studios Motion Pictures,191271109.0,250000000.0,4.0,PG13,141.0,66.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12,26,Black Panther,13,1347597973,700426566.0,52.0,647171407,48.0,2018,Walt Disney Studios Motion Pictures,202003951.0,90344416.66666667,2.0,PG13,134.0,54.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13,28,Harry Potter and the Deathly Hallows: Part 2,14,1342321665,381409310.0,28.4,960912355,71.6,2011,Warner Bros.,169189427.0,90344416.66666667,7.0,PG13,130.0,60.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,30,Star Wars: Episode VIII  The Last Jedi,15,1332698830,620181382.0,46.5,712517448,53.5,2017,Walt Disney Studios Motion Pictures,220009584.0,317000000.0,12.0,PG13,152.0,52.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
15,32,Jurassic World: Fallen Kingdom,16,1310466296,417719760.0,31.9,892746536,68.1,2018,Universal Pictures,148024610.0,170000000.0,6.0,PG13,128.0,66.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
16,34,Frozen,17,1281508100,400953009.0,31.3,880555091,68.7,2013,Walt Disney Studios Motion Pictures,243390.0,150000000.0,11.0,PG,102.0,56.0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
17,36,Beauty and the Beast,18,1273576220,504481165.0,39.6,769095055,60.4,2017,Walt Disney Studios Motion Pictures,174750616.0,160000000.0,3.0,PG,129.0,52.0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
